eeee|IY IY
eee|EH IY
eeah|IY AA
eeu|IY AH
eeaw|IY AO
eeoo|IY UW
eeer|IY ER
eea|IY AX
eeay|IY EY
eeeye|IY AY
eeoh|IY OW
eeow|IY AW
eeoy|IY OY
eeng|IY NG
eer|EH ER
eezh|IY ZH
eedh|IY DH
eeb|IY B
eej|IY JH
ii|IH IH
iu|IH AH
ioo|IH UW
ier|IH ER
ieye|IH AY
ioh|IH OW
iow|IH AW
ioy|IH OY
iw|IH W
iy|IH Y
ih|IH HH
ich|IH CH
ei|EH IH
ee|EH EH
eah|EH AA
eu|EH AH
eoo|EH UW
ea|EH AX
eay|EH EY
eoh|EH OW
eow|EH AW
eoy|EH OY
ezh|EH ZH
edh|EH DH
eb|EH B
aee|AE IY
ai|AE IH
ae|AE EH
aaw|AX AO
aoo|AX UW
aa|AX AX
aay|AX EY
aeye|AX AY
aoh|AX OW
aow|AX AW
aoy|AX OY
ar|AE R
ay|AE Y
azh|AX ZH
adh|AX DH
ah|AE HH
ahee|AA IY
ahu|AA AH
ahoo|AA UW
aher|AA ER
aha|AA AX
ahay|AA EY
aheye|AA AY
ahoh|AA OW
ahow|AA AW
ahoy|AA OY
ahy|AA Y
ahsh|AA SH
ahzh|AA ZH
ahv|AA V
ahch|AA CH
ahj|AA JH
uee|AH IY
uu|AH AH
uaw|AH AO
uoo|AH UW
uer|AH ER
ua|AH AX
uay|AH EY
uoh|AH OW
uow|AH AW
uoy|AH OY
ur|AH R
uw|AH W
uy|AH Y
uzh|AH ZH
uh|AH HH
awee|AO IY
awe|AO EH
awa|AO AX
awu|AO AH
awaw|AO AO
awoo|AO UW
awer|AO ER
aweye|AO AY
awoh|AO OW
awow|AO AW
awoy|AO OY
awm|AO M
aws|AO S
awz|AO Z
awsh|AO SH
awzh|AO ZH
awv|AO V
awth|AO TH
awdh|AO DH
awh|AO HH
awp|AO P
awb|AO B
awd|AO D
awk|AO K
awg|AO G
awch|AO CH
awj|AO JH
ooee|UW IY
ooi|UH IH
ooe|UW EH
ooa|UH AX
ooah|UW AA
oou|UW AH
ooaw|UW AO
oooo|UW UW
ooer|UW ER
ooay|UW EY
ooeye|UW AY
oooh|UW OW
ooow|UH AW
oooy|UW OY
oom|UH M
oon|UH N
oong|UW NG
ool|UH L
oor|UH R
oow|UH W
ooy|UW Y
oos|UH S
ooz|UW Z
oosh|UW SH
oozh|UW ZH
oof|UH F
oov|UW V
ooth|UH TH
oodh|UH DH
ooh|UH HH
oop|UH P
oob|UH B
oot|UH T
oog|UH G
ooch|UW CH
ooj|UW JH
eree|ER IY
eraw|ER AO
eroo|ER UW
erer|ER ER
era|ER AX
eray|ER EY
ereye|ER AY
eroh|ER OW
eroy|ER OY
erng|ER NG
err|ER R
erz|ER Z
erzh|ER ZH
erj|ER JH
aer|AX ER
ang|AX NG
az|AX Z
ayee|EY IY
aya|EY AX
ayu|EY AH
ayaw|EY AO
ayoo|EY UW
ayer|EY ER
ayay|EY EY
ayeye|EY AY
ayoh|EY OW
ayow|EY AW
ayoy|EY OY
ayng|EY NG
ayr|EY R
ayy|EY Y
ayz|EY Z
aysh|EY SH
ayzh|EY ZH
ayv|EY V
aydh|EY DH
ayh|EY HH
ayb|EY B
aych|EY CH
ayj|EY JH
eyeee|AY IY
eyee|AY EH
eyeah|AY AA
eyeu|AY AH
eyeoo|AY UW
eyeer|AY ER
eyea|AY AX
eyeay|AY EY
eyeeye|AY AY
eyeoh|AY OW
eyeow|AY AW
eyeoy|AY OY
eyeng|AY NG
eyey|AY Y
eyesh|AY SH
eyezh|AY ZH
eyef|AY F
eyedh|AY DH
eyep|AY P
eyech|AY CH
eyej|AY JH
ohee|OW IY
ohi|OW IH
ohe|OW EH
ohah|OW AA
ohu|OW AH
ohaw|OW AO
ohoo|OW UW
oher|OW ER
oha|OW AX
ohay|OW EY
oheye|OW AY
ohoh|OW OW
ohow|OW AW
ohoy|OW OY
ohng|OW NG
ohl|OW L
ohr|OW R
ohy|OW Y
ohsh|OW SH
ohzh|OW ZH
ohf|OW F
ohth|OW TH
ohh|OW HH
ohp|OW P
oht|OW T
ohd|OW D
ohk|OW K
ohg|OW G
ohch|OW CH
ohj|OW JH
owee|AW IY
owi|AW IH
owa|AW AX
owu|AW AH
owaw|AW AO
owoo|AW UW
oway|AW EY
oweye|AW AY
owoh|AW OW
